NO,Solution Depth,Nodes In Memory,Max Nodes in Memory,Nodes Expanded,Optimal Solution,Real World Time
666,32625,130152,130152,32625,0,9103105
667,2556,10158,10158,2556,0,703523
668,6496,25984,25984,6496,0,1852376
669,56001,224231,224231,56001,0,16242136
670,364,1452,1452,364,0,117546
671,6057,23856,23856,6057,0,1628102
672,77715,310841,310841,77715,0,24370368
673,17951,71375,71375,17951,0,5350692
674,17238,69107,69107,17238,0,5165307
675,557,2188,2188,557,0,164038
676,42195,169048,169048,42195,0,12452587
677,46447,185616,185616,46447,0,14305255
678,53673,214479,214479,53673,0,15627212
679,23598,94497,94497,23598,0,6878500
680,97833,391220,391220,97833,0,30459377
681,21509,85736,85736,21509,0,5975265
682,8447,33916,33916,8447,0,2291273
683,14897,59526,59526,14897,0,3909434
684,26426,105245,105245,26426,0,7328509
685,12780,50584,50584,12780,0,3586036
686,23896,95502,95502,23896,0,6748965
687,10367,41425,41425,10367,0,2875203
688,32659,130846,130846,32659,0,9091701
689,38364,152978,152978,38364,0,12124218
690,37361,149044,149044,37361,0,11120689
691,28650,114500,114500,28650,0,8584381
692,9616,38318,38318,9616,0,2616134
693,9047,36175,36175,9047,0,2405604
694,43197,172761,172761,43197,0,12688556
695,60322,241293,241293,60322,0,17686024
696,13551,54173,54173,13551,0,3654459
697,4729,18886,18886,4729,0,1255873
698,27783,111172,111172,27783,0,8761578
699,26831,107612,107612,26831,0,7512138
700,17238,68832,68832,17238,0,4816178
701,22173,88781,88781,22173,0,6184041
702,502,1951,1951,502,0,143570
703,98525,393926,393926,98525,0,30276040
704,39527,158303,158303,39527,0,12368374
705,611,2366,2366,611,0,182752
706,92497,369730,369730,92497,0,28828936
707,11753,47191,47191,11753,0,3472291
708,20379,81402,81402,20379,0,5786665
709,659,2643,2643,659,0,196203
710,19357,77488,77488,19357,0,6334921
711,11162,44221,44221,11162,0,3072868
712,73682,294413,294413,73682,0,22548109
713,41297,164895,164895,41297,0,12179482
714,20137,80439,80439,20137,0,5823800
715,860,3526,3526,860,0,254099
716,4167,16438,16438,4167,0,1121952
717,54093,216591,216591,54093,0,16410560
718,755,3040,3040,755,0,227489
719,22703,90581,90581,22703,0,6513580
